Team,Group,Win %,Final %,Semi %,Advance %
Argentina,J,18.97,28.27,41.0,99.87
Spain,H,14.41,22.12,34.47,94.61
England,L,9.72,17.87,29.43,97.96
France,I,8.47,15.27,26.92,99.67
Brazil,C,7.29,13.53,24.63,98.02
Portugal,K,6.13,12.32,22.8,92.78
Colombia,K,3.92,8.93,17.55,88.66
Germany,E,3.87,8.93,18.5,99.79
Belgium,G,3.71,8.41,17.13,93.67
Netherlands,F,3.29,8.01,16.81,90.24
Morocco,C,3.22,7.84,16.51,93.99
Japan,F,2.67,5.85,12.7,86.36
Norway,I,2.35,6.44,14.78,98.12
Switzerland,B,1.75,4.64,11.28,88.9
Croatia,L,1.66,4.19,10.44,90.96
Austria,J,1.52,3.98,10.41,95.22
Ecuador,E,1.4,3.87,9.36,79.44
Uruguay,H,1.27,3.35,8.23,74.8
Australia,D,0.71,1.99,6.34,97.04
Mexico,A,0.51,1.76,5.69,97.08
Senegal,I,0.45,1.55,4.39,57.64
Ivory Coast,E,0.35,1.38,5.02,98.45
Turkey,D,0.32,0.86,3.05,52.38
Egypt,G,0.31,0.84,3.02,76.96
Algeria,J,0.3,1.3,4.17,57.79
Sweden,F,0.24,1.32,4.12,93.38
South Korea,A,0.21,0.91,3.17,95.16
United States,D,0.2,0.64,2.91,95.46
Scotland,C,0.19,0.85,3.33,82.85
Czech Republic,A,0.16,0.68,1.91,59.68
Iran,G,0.14,0.53,2.15,54.9
Canada,B,0.13,0.83,3.25,79.21
Paraguay,D,0.07,0.21,1.13,30.04
DR Congo,K,0.05,0.22,0.87,39.96
Tunisia,F,0.01,0.04,0.22,10.92
Bosnia and Herzegovina,B,0.01,0.05,0.49,58.53
Ghana,L,0.01,0.04,0.31,38.32
Saudi Arabia,H,0.01,0.04,0.24,40.88
South Africa,A,0.0,0.03,0.18,21.75
Qatar,B,0.0,0.0,0.04,40.56
Haiti,C,0.0,0.0,0.0,2.95
Cape Verde,H,0.0,0.02,0.22,48.84
Curaçao,E,0.0,0.0,0.0,2.41
New Zealand,G,0.0,0.0,0.07,25.96
Jordan,J,0.0,0.01,0.02,8.4
Iraq,I,0.0,0.0,0.03,7.02
Uzbekistan,K,0.0,0.07,0.65,35.51
Panama,L,0.0,0.01,0.06,26.91
